epoch,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.27213552594184875,0.07164235413074493,0.01766342669725418,0.02818482741713524,0.0010000000474974513,0.8561877608299255,0.5824704170227051,0.9807927012443542,0.9581079483032227,0.9952638149261475,0.2659676969051361,0.048528190702199936,0.008106280118227005,0.01641833409667015,0.8531519174575806,0.8200341463088989,0.9836094975471497,0.9824700355529785,0.994542121887207
1,0.28791990876197815,0.11399724334478378,0.02055611088871956,0.037099339067935944,0.0010000000474974513,0.802623987197876,0.6082153916358948,0.9876527786254883,0.9635360240936279,0.9959220886230469,0.293920636177063,0.12524160742759705,0.028623515740036964,0.03563608229160309,0.7758879661560059,0.8093932867050171,0.9864183664321899,0.9770623445510864,0.9954910278320312
2,0.30220067501068115,0.11820374429225922,0.06529971957206726,0.044713519513607025,0.0010000000474974513,0.798109769821167,0.6365755796432495,0.9864633083343506,0.9643722176551819,0.9955316781997681,0.32987409830093384,0.13074907660484314,0.14996163547039032,0.05230938270688057,0.7379722595214844,0.7714318037033081,0.985686719417572,0.9775277376174927,0.9952560663223267
3,0.33985280990600586,0.1417228728532791,0.17356649041175842,0.05600377172231674,0.0010000000474974513,0.749016284942627,0.6344562768936157,0.9821498990058899,0.9707413911819458,0.9941535592079163,0.4006592631340027,0.22543790936470032,0.25808578729629517,0.12857432663440704,0.6652222871780396,0.8281434178352356,0.986509382724762,0.9831876754760742,0.995520830154419
4,0.40227875113487244,0.20577943325042725,0.2820528447628021,0.13394984602928162,0.0010000000474974513,0.6836711764335632,0.7784408330917358,0.9796624183654785,0.9738027453422546,0.9933103919029236,0.43145474791526794,0.22172698378562927,0.3327246904373169,0.18083608150482178,0.6276922225952148,0.37563228607177734,0.9852976202964783,0.9827517867088318,0.9951146245002747
5,0.4371905028820038,0.24489012360572815,0.32925695180892944,0.18536251783370972,0.0010000000474974513,0.642579197883606,0.723647952079773,0.9810487627983093,0.978178083896637,0.993738055229187,0.4535978138446808,0.2742582857608795,0.3755355477333069,0.1756490021944046,0.6295357942581177,0.8147808313369751,0.978685736656189,0.9781381487846375,0.992900550365448
6,0.4761981666088104,0.2890898883342743,0.3803410530090332,0.24316644668579102,0.0010000000474974513,0.6032260656356812,0.5653530955314636,0.9810477495193481,0.977430522441864,0.993753969669342,0.5156874060630798,0.31131961941719055,0.4485771059989929,0.3112443685531616,0.5575025677680969,0.8199304342269897,0.9828872680664062,0.9816993474960327,0.9943048357963562
7,0.4974234700202942,0.3029170036315918,0.41708794236183167,0.27867141366004944,0.0010000000474974513,0.57834392786026,0.6765313744544983,0.9819743633270264,0.9799275398254395,0.9940252900123596,0.5452932119369507,0.3509000837802887,0.4698861241340637,0.3680811822414398,0.5153929591178894,0.7960999011993408,0.9851150512695312,0.9836131930351257,0.9950486421585083
8,0.5430415868759155,0.3645201623439789,0.47355905175209045,0.34111592173576355,0.0010000000474974513,0.5245695114135742,0.6492835879325867,0.9841892123222351,0.983102560043335,0.9947431087493896,0.5884847640991211,0.37949705123901367,0.5526716709136963,0.42576685547828674,0.4682326912879944,0.7884739637374878,0.9890419244766235,0.9884435534477234,0.9963502883911133
9,0.5520846247673035,0.3760790526866913,0.48001396656036377,0.3592867851257324,0.0010000000474974513,0.5153108239173889,0.6199460029602051,0.9843005537986755,0.9829018712043762,0.994795560836792,0.569941520690918,0.3931722640991211,0.5031007528305054,0.38995659351348877,0.4885352849960327,0.3766620457172394,0.9867467284202576,0.9858176708221436,0.995590090751648
